Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,273.0,1.0,273.0,273.0,0.1,222.2223000000003,0.0,0.0,0.006112098693847656,,,,,,,,,,,,,,,,,,,,,117.29730772378349,64.59585378522435,219.06389408731954,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,386.0,2.0,113.0,386.0,0.1,91.39079999999996,0.0,0.0,10.650913000106812,,,,,,,,,,,,,,,,,,,,,49.671041695517125,26.206444076836778,90.84768585753532,0.8099999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,490.0,3.0,104.0,490.0,0.1,80.30210000000008,0.0,0.0,20.64490056037903,,,,,,,,,,,,,,,,,,,,,42.84160757174144,23.024561164430256,79.87252098672607,0.7425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,764.0,4.0,274.0,764.0,0.1,215.03947500000015,0.0,0.0,45.68536114692688,,,,,,,,,,,,,,,,,,,,,103.90580257345502,64.05089970640037,212.23490086731206,0.34650000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,840.0,5.0,76.0,840.0,0.1,65.59825000000006,0.0,0.0,53.0020809173584,,,,,,,,,,,,,,,,,,,,,34.40439546295802,18.599447548163088,65.34984591016512,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,899.0,6.0,59.0,899.0,0.1,51.10800000000005,0.0,0.0,58.69609451293945,,,,,,,,,,,,,,,,,,,,,26.520369809757618,14.568631319783087,50.961721652835784,0.8999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,947.0,7.0,48.0,947.0,0.1,43.11325,0.0,0.0,63.50556492805481,,,,,,,,,,,,,,,,,,,,,22.15122837171107,12.771678104947954,43.015526779016334,0.8099999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,984.0,8.0,37.0,984.0,0.1,30.921499999999998,0.0,0.0,67.48615741729736,,,,,,,,,,,,,,,,,,,,,14.40114575279769,10.128718765970797,30.874390330036757,0.15000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,1260.0,9.0,276.0,1260.0,0.1,221.52925000000047,0.0,0.0,92.79817843437195,,,,,,,,,,,,,,,,,,,,,104.26420712100274,63.86547019230941,218.69529475545897,0.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,1522.0,10.0,262.0,1522.0,0.1,208.34110000000032,0.0,0.0,116.80744242668152,,,,,,,,,,,,,,,,,,,,,103.45697081251191,58.624891973970335,205.67165963992386,0.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
